Euskirchen, Bf
Mönchengladbach, Hbf
Kerpen, Buir Bahnhof
Kall
Aachen, Bushof
Aachen, Kaiser-Friedrich-Park
Aachen, Ehrenmal / Lousberg
Aachen, STAWAG
Aachen, Misereor
Aachen, Ritterstraße
Aachen, Hauptbahnhof (Bus)
Aachen, Alter Posthof
Aachen, Kaiserplatz
Aachen, Schanz (Jakobstraße)
Aachen, Theater
Aachen, Annastraße (Hans-Stercken-Platz)
Aachen, Audimax
Aachen, Augustastraße (Suermondt-Ludwig-Museum)
Aachen, Driescher Gässchen (RWTH Aachen)
Aachen, Elisenbrunnen
Aachen, Eurogress
Aachen, Hansemannplatz
Aachen, Jakobsplatz
Aachen, Karlsgraben
Aachen, Königstraße
Aachen, Luisenhospital
Aachen, Minoritenstraße
Aachen, Normaluhr
Aachen, Ponttor
Aachen, Technische Hochschule
Aachen, Turmstraße
Aachen, Wallstraße
Aachen, Rolandstraße
Aachen, Blücherplatz
Aachen, Elsa-Brändström-Straße
Aachen, Europaplatz
Aachen, Carolus Thermen
Aachen, Ludwig Forum
Aachen, Alter Tivoli
Aachen, Ungarnplatz (Carolus Thermen)
Aachen, Wiesental
Aachen, Bendplatz
Aachen, Westbahnhof (Bus)
Aachen, Europadorf
Aachen, Jupp-Müller-Straße
Aachen, Laurensberg Kackertstraße
Aachen, Süsterau
Aachen, Süsterfeld
Aachen, Josefskirche (Justizzentrum)
Aachen, Frankenberg
Aachen, Goerdelerstraße
Aachen, Scheibenstraße
Aachen, Schlossstraße
Aachen, Viktoriaallee
Aachen, Vogelsang
Aachen, Beverau
Aachen, Juttastraße
Aachen, Wilhelm-Pitz-Weg
Aachen, Zwanzigmorgen
Aachen, Brand Hermann-Löns-Straße
Aachen, Brand Kolpingstraße
Aachen, Brand Am Tiergarten
Aachen, Brand
Aachen, Richard-Wagner-Straße (Columbarium)
Aachen, Brand Hochstraße
Aachen, Brand Ringstraße
Aachen, Brand Schulzentrum
Aachen, Brand Schwimmhalle
Aachen, Brander Feld
Aachen, Brand Eckenerstraße
Aachen, Brand Eilendorfer Straße
Aachen, Brand Erberichshofstraße
Aachen, Brander Heide (Nordstraße)
Aachen, Brand Freund
Aachen, Brand Goertzbrunnstraße
Aachen, Brand Kollenbruch
Aachen, Brand Niederforstbach
Aachen, Brand Rollefer Berg
Aachen, Brand Schagenstraße
Aachen, Brand Steinebrück
Aachen, Brand Vennblick
Aachen, Brand Wolferskaul
Aachen, Schillerstraße
Aachen, Burtscheid
Aachen, Burtscheid Hauptstraße
Aachen, Gillesbachtal
Aachen, Habsburgerallee
Aachen, Heißberg
Aachen, Kapitelstraße
Aachen, Marienhospital
Aachen, Reumontstraße
Aachen, Rosenquelle
Aachen, Burtscheid Sebastianstraße
Aachen, Krauthausen
Aachen, Waldschenke
Aachen, Westfriedhof
Aachen, Augustinerweg
